Belegungsfaktor: 0,3703704 | T(20): 130.779 | T1(20): 023.991 | T2(20): 056.466 | T3(20): 050.322
Belegungsfaktor: 0,3636364 | T(20): 138.094 | T1(20): 030.720 | T2(20): 057.929 | T3(20): 049.445
Belegungsfaktor: 0,3571429 | T(20): 244.882 | T1(20): 115.858 | T2(20): 063.781 | T3(20): 065.243
Belegungsfaktor: 0,3508772 | T(20): 122.003 | T1(20): 021.065 | T2(20): 054.126 | T3(20): 046.812
Belegungsfaktor: 0,3448276 | T(20): 172.618 | T1(20): 066.414 | T2(20): 060.270 | T3(20): 045.934
Belegungsfaktor: 0,3389831 | T(20): 176.421 | T1(20): 072.558 | T2(20): 054.711 | T3(20): 049.152
Belegungsfaktor: 0,3333333 | T(20): 133.705 | T1(20): 023.113 | T2(20): 058.514 | T3(20): 052.078
Belegungsfaktor: 0,3278689 | T(20): 141.020 | T1(20): 028.672 | T2(20): 057.930 | T3(20): 054.418
Belegungsfaktor: 0,3225806 | T(20): 122.588 | T1(20): 018.725 | T2(20): 057.344 | T3(20): 046.519
Belegungsfaktor: 0,3174603 | T(20): 124.343 | T1(20): 019.017 | T2(20): 057.344 | T3(20): 047.982
Belegungsfaktor: 0,3125000 | T(20): 120.246 | T1(20): 017.846 | T2(20): 054.711 | T3(20): 047.689
Belegungsfaktor: 0,3076923 | T(20): 165.596 | T1(20): 046.812 | T2(20): 063.195 | T3(20): 055.589
Belegungsfaktor: 0,3030303 | T(20): 191.927 | T1(20): 083.968 | T2(20): 056.173 | T3(20): 051.786
Belegungsfaktor: 0,2985075 | T(20): 153.600 | T1(20): 035.694 | T2(20): 063.488 | T3(20): 054.418
Belegungsfaktor: 0,2941176 | T(20): 259.217 | T1(20): 130.486 | T2(20): 069.632 | T3(20): 059.099
Belegungsfaktor: 0,2898551 | T(20): 152.137 | T1(20): 039.204 | T2(20): 059.392 | T3(20): 053.541
Belegungsfaktor: 0,2857143 | T(20): 169.106 | T1(20): 064.658 | T2(20): 059.977 | T3(20): 044.471
Belegungsfaktor: 0,2816901 | T(20): 185.783 | T1(20): 078.117 | T2(20): 056.466 | T3(20): 051.200
Belegungsfaktor: 0,2777778 | T(20): 437.394 | T1(20): 238.153 | T2(20): 150.674 | T3(20): 048.567
Belegungsfaktor: 0,2739726 | T(20): 144.531 | T1(20): 026.917 | T2(20): 066.999 | T3(20): 050.615
Belegungsfaktor: 0,2702703 | T(20): 129.902 | T1(20): 016.677 | T2(20): 053.540 | T3(20): 059.685
Belegungsfaktor: 0,2666667 | T(20): 124.343 | T1(20): 017.262 | T2(20): 055.881 | T3(20): 051.200
